Infinitive,осле́пнуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,осле́пший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,осле́пши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,осле́пну
2nd Sing,осле́пнешь
3rd Sing,осле́пнет
1st Pl,осле́пнем
2nd Pl,осле́пнете
3rd Pl,осле́пнут
Past M,осле́п
Past F,осле́пла
Past N,осле́пло
Past PL,осле́пли
Imp S,осле́пни
Imp PL,осле́пните
