Infinitive,осе́чься
Zaliznyak Class,8b/b // 8b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,осе́кшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,осёкшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,осе́кшись
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,осёкшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,осеку́сь
2nd Sing,осечёшься
3rd Sing,осечётся
1st Pl,осечёмся
2nd Pl,осечётесь
3rd Pl,осеку́тся
Past M,осёкся
Past F,осекла́сь
Past N,осекло́сь
Past PL,осекли́сь
Imp S,осеки́сь
Imp PL,осеки́тесь
