Infinitive,оскорби́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,оскорби́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оскорби́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,оскорблю́сь
2nd Sing,оскорби́шься
3rd Sing,оскорби́тся
1st Pl,оскорби́мся
2nd Pl,оскорби́тесь
3rd Pl,оскорбя́тся
Past M,оскорби́лся
Past F,оскорби́лась
Past N,оскорби́лось
Past PL,оскорби́лись
Imp S,оскорби́сь
Imp PL,оскорби́тесь
