Infinitive,осво́ить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,осво́ивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,осво́енный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,осво́ив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,осво́ивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,осво́ю
2nd Sing,осво́ишь
3rd Sing,осво́ит
1st Pl,осво́им
2nd Pl,осво́ите
3rd Pl,осво́ят
Past M,осво́ил
Past F,осво́ила
Past N,осво́ило
Past PL,осво́или
Imp S,осво́й
Imp PL,осво́йте
