Infinitive,остри́чь
Zaliznyak Class,8b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,остри́гший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,остри́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,остри́гши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,остригу́
2nd Sing,острижёшь
3rd Sing,острижёт
1st Pl,острижём
2nd Pl,острижёте
3rd Pl,остригу́т
Past M,остри́г
Past F,остри́гла
Past N,остри́гло
Past PL,остри́гли
Imp S,остриги́
Imp PL,остриги́те
