Infinitive,осла́бнуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,осла́бший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,осла́бши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,осла́бну
2nd Sing,осла́бнешь
3rd Sing,осла́бнет
1st Pl,осла́бнем
2nd Pl,осла́бнете
3rd Pl,осла́бнут
Past M,осла́б
Past F,осла́бла
Past N,осла́бло
Past PL,осла́бли
Imp S,осла́бни
Imp PL,осла́бните
