Infinitive,оси́лить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,оси́ливший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оси́ленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оси́лив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,оси́ливши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,оси́лю
2nd Sing,оси́лишь
3rd Sing,оси́лит
1st Pl,оси́лим
2nd Pl,оси́лите
3rd Pl,оси́лят
Past M,оси́лил
Past F,оси́лила
Past N,оси́лило
Past PL,оси́лили
Imp S,оси́ль
Imp PL,оси́льте
