Infinitive,осмы́слить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,осмы́сливший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,осмы́сленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,осмы́слив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,осмы́сливши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,осмы́слю
2nd Sing,осмы́слишь
3rd Sing,осмы́слит
1st Pl,осмы́слим
2nd Pl,осмы́слите
3rd Pl,осмы́слят
Past M,осмы́слил
Past F,осмы́слила
Past N,осмы́слило
Past PL,осмы́слили
Imp S,осмы́сли
Imp PL,осмы́слите
