Infinitive,оседа́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,оседа́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,оседа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оседа́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,оседа́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,оседа́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,оседа́ю
2nd Sing,оседа́ешь
3rd Sing,оседа́ет
1st Pl,оседа́ем
2nd Pl,оседа́ете
3rd Pl,оседа́ют
Past M,оседа́л
Past F,оседа́ла
Past N,оседа́ло
Past PL,оседа́ли
Imp S,оседа́й
Imp PL,оседа́йте
