Infinitive,остава́ться
Zaliznyak Class,13b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,остаю́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,остава́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,остава́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,остава́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,остаю́сь
2nd Sing,остаёшься
3rd Sing,остаётся
1st Pl,остаёмся
2nd Pl,остаётесь
3rd Pl,остаю́тся
Past M,остава́лся
Past F,остава́лась
Past N,остава́лось
Past PL,остава́лись
Imp S,остава́йся
Imp PL,остава́йтесь
