Infinitive,освети́ться
Zaliznyak Class,4b(-щ-)
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,освети́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,освети́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,освещу́сь
2nd Sing,освети́шься
3rd Sing,освети́тся
1st Pl,освети́мся
2nd Pl,освети́тесь
3rd Pl,осветя́тся
Past M,освети́лся
Past F,освети́лась
Past N,освети́лось
Past PL,освети́лись
Imp S,освети́сь
Imp PL,освети́тесь
