Infinitive,осу́нуться
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,осу́нувшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,осу́нувшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,осу́нусь
2nd Sing,осу́нешься
3rd Sing,осу́нется
1st Pl,осу́немся
2nd Pl,осу́нетесь
3rd Pl,осу́нутся
Past M,осу́нулся
Past F,осу́нулась
Past N,осу́нулось
Past PL,осу́нулись
Imp S,осу́нься
Imp PL,осу́ньтесь
