Infinitive,осмотре́ться
Zaliznyak Class,5c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,осмотре́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,осмотре́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,осмотрю́сь
2nd Sing,осмо́тришься
3rd Sing,осмо́трится
1st Pl,осмо́тримся
2nd Pl,осмо́тритесь
3rd Pl,осмо́трятся
Past M,осмотре́лся
Past F,осмотре́лась
Past N,осмотре́лось
Past PL,осмотре́лись
Imp S,осмотри́сь
Imp PL,осмотри́тесь
