Infinitive,осуши́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,осуши́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,осу́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,осуши́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,осуши́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,осушу́
2nd Sing,осу́шишь
3rd Sing,осу́шит
1st Pl,осу́шим
2nd Pl,осу́шите
3rd Pl,осу́шат
Past M,осуши́л
Past F,осуши́ла
Past N,осуши́ло
Past PL,осуши́ли
Imp S,осуши́
Imp PL,осуши́те
