Infinitive,оста́ться
Zaliznyak Class,15a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,оста́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оста́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,оста́нусь
2nd Sing,оста́нешься
3rd Sing,оста́нется
1st Pl,оста́немся
2nd Pl,оста́нетесь
3rd Pl,оста́нутся
Past M,оста́лся
Past F,оста́лась
Past N,оста́лось
Past PL,оста́лись
Imp S,оста́нься
Imp PL,оста́ньтесь
