Infinitive,осво́иться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,осво́ившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,осво́ившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,осво́юсь
2nd Sing,осво́ишься
3rd Sing,осво́ится
1st Pl,осво́имся
2nd Pl,осво́итесь
3rd Pl,осво́ятся
Past M,осво́ился
Past F,осво́илась
Past N,осво́илось
Past PL,осво́ились
Imp S,осво́йся
Imp PL,осво́йтесь
