Infinitive,осла́бить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,осла́бивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,осла́бленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,осла́бив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,осла́бивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,осла́блю
2nd Sing,осла́бишь
3rd Sing,осла́бит
1st Pl,осла́бим
2nd Pl,осла́бите
3rd Pl,осла́бят
Past M,осла́бил
Past F,осла́била
Past N,осла́било
Past PL,осла́били
Imp S,осла́бь
Imp PL,осла́бьте
