Infinitive,оскорбля́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,оскорбля́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,оскорбля́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оскорбля́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,оскорбля́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,оскорбля́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,оскорбля́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,оскорбля́ю
2nd Sing,оскорбля́ешь
3rd Sing,оскорбля́ет
1st Pl,оскорбля́ем
2nd Pl,оскорбля́ете
3rd Pl,оскорбля́ют
Past M,оскорбля́л
Past F,оскорбля́ла
Past N,оскорбля́ло
Past PL,оскорбля́ли
Imp S,оскорбля́й
Imp PL,оскорбля́йте
