Infinitive,останови́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,останови́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,остано́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,останови́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,останови́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,остановлю́
2nd Sing,остано́вишь
3rd Sing,остано́вит
1st Pl,остано́вим
2nd Pl,остано́вите
3rd Pl,остано́вят
Past M,останови́л
Past F,останови́ла
Past N,останови́ло
Past PL,останови́ли
Imp S,останови́
Imp PL,останови́те
