Infinitive,основа́ть
Zaliznyak Class,2b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,основа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,осно́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,основа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,основа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,осную́
2nd Sing,оснуёшь
3rd Sing,оснуёт
1st Pl,оснуём
2nd Pl,оснуёте
3rd Pl,осную́т
Past M,основа́л
Past F,основа́ла
Past N,основа́ло
Past PL,основа́ли
Imp S,осну́й
Imp PL,осну́йте
