Infinitive,осты́ть
Zaliznyak Class,15a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,осты́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,осты́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,осты́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,осты́ну
2nd Sing,осты́нешь
3rd Sing,осты́нет
1st Pl,осты́нем
2nd Pl,осты́нете
3rd Pl,осты́нут
Past M,осты́л
Past F,осты́ла
Past N,осты́ло
Past PL,осты́ли
Imp S,осты́нь
Imp PL,осты́ньте
