Infinitive,оспа́ривать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,оспа́ривающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,оспа́ривавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оспа́риваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,оспа́ривая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,оспа́ривав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,оспа́ривавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,оспа́риваю
2nd Sing,оспа́риваешь
3rd Sing,оспа́ривает
1st Pl,оспа́риваем
2nd Pl,оспа́риваете
3rd Pl,оспа́ривают
Past M,оспа́ривал
Past F,оспа́ривала
Past N,оспа́ривало
Past PL,оспа́ривали
Imp S,оспа́ривай
Imp PL,оспа́ривайте
