Infinitive,освобожда́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,освобожда́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,освобожда́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,освобожда́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,освобожда́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,освобожда́юсь
2nd Sing,освобожда́ешься
3rd Sing,освобожда́ется
1st Pl,освобожда́емся
2nd Pl,освобожда́етесь
3rd Pl,освобожда́ются
Past M,освобожда́лся
Past F,освобожда́лась
Past N,освобожда́лось
Past PL,освобожда́лись
Imp S,освобожда́йся
Imp PL,освобожда́йтесь
