Infinitive,оста́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,оста́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оста́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оста́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,оста́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,оста́влю
2nd Sing,оста́вишь
3rd Sing,оста́вит
1st Pl,оста́вим
2nd Pl,оста́вите
3rd Pl,оста́вят
Past M,оста́вил
Past F,оста́вила
Past N,оста́вило
Past PL,оста́вили
Imp S,оста́вь
Imp PL,оста́вьте
