Infinitive,ослабе́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ослабе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ослабе́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,ослабе́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,ослабе́ю
2nd Sing,ослабе́ешь
3rd Sing,ослабе́ет
1st Pl,ослабе́ем
2nd Pl,ослабе́ете
3rd Pl,ослабе́ют
Past M,ослабе́л
Past F,ослабе́ла
Past N,ослабе́ло
Past PL,ослабе́ли
Imp S,ослабе́й
Imp PL,ослабе́йте
