Infinitive,осатане́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,осатане́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,осатане́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,осатане́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,осатане́ю
2nd Sing,осатане́ешь
3rd Sing,осатане́ет
1st Pl,осатане́ем
2nd Pl,осатане́ете
3rd Pl,осатане́ют
Past M,осатане́л
Past F,осатане́ла
Past N,осатане́ло
Past PL,осатане́ли
Imp S,осатане́й
Imp PL,осатане́йте
