Infinitive,остерега́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,остерега́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,остерега́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,остерега́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,остерега́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,остерега́юсь
2nd Sing,остерега́ешься
3rd Sing,остерега́ется
1st Pl,остерега́емся
2nd Pl,остерега́етесь
3rd Pl,остерега́ются
Past M,остерега́лся
Past F,остерега́лась
Past N,остерега́лось
Past PL,остерега́лись
Imp S,остерега́йся
Imp PL,остерега́йтесь
