Infinitive,оси́пнуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,оси́пший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оси́пши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,оси́пну
2nd Sing,оси́пнешь
3rd Sing,оси́пнет
1st Pl,оси́пнем
2nd Pl,оси́пнете
3rd Pl,оси́пнут
Past M,оси́п
Past F,оси́пла
Past N,оси́пло
Past PL,оси́пли
Imp S,оси́пни
Imp PL,оси́пните
