Infinitive,осени́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,осени́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,осенённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,осени́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,осени́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,осеню́
2nd Sing,осени́шь
3rd Sing,осени́т
1st Pl,осени́м
2nd Pl,осени́те
3rd Pl,осеня́т
Past M,осени́л
Past F,осени́ла
Past N,осени́ло
Past PL,осени́ли
Imp S,осени́
Imp PL,осени́те
