Infinitive,осва́иваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,осва́ивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,осва́ивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,осва́иваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,осва́ивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,осва́иваюсь
2nd Sing,осва́иваешься
3rd Sing,осва́ивается
1st Pl,осва́иваемся
2nd Pl,осва́иваетесь
3rd Pl,осва́иваются
Past M,осва́ивался
Past F,осва́ивалась
Past N,осва́ивалось
Past PL,осва́ивались
Imp S,осва́ивайся
Imp PL,осва́ивайтесь
