Infinitive,оседла́ть
Zaliznyak Class,1a(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,оседла́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,осёдланный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оседла́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,оседла́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,оседла́ю
2nd Sing,оседла́ешь
3rd Sing,оседла́ет
1st Pl,оседла́ем
2nd Pl,оседла́ете
3rd Pl,оседла́ют
Past M,оседла́л
Past F,оседла́ла
Past N,оседла́ло
Past PL,оседла́ли
Imp S,оседла́й
Imp PL,оседла́йте
