Infinitive,оснаща́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,оснаща́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,оснаща́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оснаща́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,оснаща́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,оснаща́юсь
2nd Sing,оснаща́ешься
3rd Sing,оснаща́ется
1st Pl,оснаща́емся
2nd Pl,оснаща́етесь
3rd Pl,оснаща́ются
Past M,оснаща́лся
Past F,оснаща́лась
Past N,оснаща́лось
Past PL,оснаща́лись
Imp S,оснаща́йся
Imp PL,оснаща́йтесь
