Infinitive,осно́вываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,осно́вывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,осно́вывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,осно́вываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,осно́вывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,осно́вываюсь
2nd Sing,осно́вываешься
3rd Sing,осно́вывается
1st Pl,осно́вываемся
2nd Pl,осно́вываетесь
3rd Pl,осно́вываются
Past M,осно́вывался
Past F,осно́вывалась
Past N,осно́вывалось
Past PL,осно́вывались
Imp S,осно́вывайся
Imp PL,осно́вывайтесь
