Infinitive,осмеле́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,осмеле́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,осмеле́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,осмеле́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,осмеле́ю
2nd Sing,осмеле́ешь
3rd Sing,осмеле́ет
1st Pl,осмеле́ем
2nd Pl,осмеле́ете
3rd Pl,осмеле́ют
Past M,осмеле́л
Past F,осмеле́ла
Past N,осмеле́ло
Past PL,осмеле́ли
Imp S,осмеле́й
Imp PL,осмеле́йте
