Infinitive,остолбене́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,остолбене́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,остолбене́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,остолбене́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,остолбене́ю
2nd Sing,остолбене́ешь
3rd Sing,остолбене́ет
1st Pl,остолбене́ем
2nd Pl,остолбене́ете
3rd Pl,остолбене́ют
Past M,остолбене́л
Past F,остолбене́ла
Past N,остолбене́ло
Past PL,остолбене́ли
Imp S,остолбене́й
Imp PL,остолбене́йте
