Infinitive,оскорби́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,оскорби́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оскорблённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оскорби́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,оскорби́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,оскорблю́
2nd Sing,оскорби́шь
3rd Sing,оскорби́т
1st Pl,оскорби́м
2nd Pl,оскорби́те
3rd Pl,оскорбя́т
Past M,оскорби́л
Past F,оскорби́ла
Past N,оскорби́ло
Past PL,оскорби́ли
Imp S,оскорби́
Imp PL,оскорби́те
