Infinitive,осознава́ться
Zaliznyak Class,13b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,осознаю́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,осознава́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,осознава́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,осознава́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,осознаю́сь
2nd Sing,осознаёшься
3rd Sing,осознаётся
1st Pl,осознаёмся
2nd Pl,осознаётесь
3rd Pl,осознаю́тся
Past M,осознава́лся
Past F,осознава́лась
Past N,осознава́лось
Past PL,осознава́лись
Imp S,осознава́йся
Imp PL,осознава́йтесь
