Infinitive,осмы́сливать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,осмы́сливающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,осмы́сливавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,осмы́сливаемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,осмы́сливая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,осмы́сливав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,осмы́сливавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,осмы́сливаю
2nd Sing,осмы́сливаешь
3rd Sing,осмы́сливает
1st Pl,осмы́сливаем
2nd Pl,осмы́сливаете
3rd Pl,осмы́сливают
Past M,осмы́сливал
Past F,осмы́сливала
Past N,осмы́сливало
Past PL,осмы́сливали
Imp S,осмы́сливай
Imp PL,осмы́сливайте
