Infinitive,осма́тривать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,осма́тривающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,осма́тривавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,осма́триваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,осма́тривая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,осма́тривав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,осма́тривавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,осма́триваю
2nd Sing,осма́триваешь
3rd Sing,осма́тривает
1st Pl,осма́триваем
2nd Pl,осма́триваете
3rd Pl,осма́тривают
Past M,осма́тривал
Past F,осма́тривала
Past N,осма́тривало
Past PL,осма́тривали
Imp S,осма́тривай
Imp PL,осма́тривайте
