Infinitive,осложни́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,осложни́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,осложни́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,осложню́сь
2nd Sing,осложни́шься
3rd Sing,осложни́тся
1st Pl,осложни́мся
2nd Pl,осложни́тесь
3rd Pl,осложня́тся
Past M,осложни́лся
Past F,осложни́лась
Past N,осложни́лось
Past PL,осложни́лись
Imp S,осложни́сь
Imp PL,осложни́тесь
