Infinitive,оска́литься
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,оска́лившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оска́лившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,оска́люсь
2nd Sing,оска́лишься
3rd Sing,оска́лится
1st Pl,оска́лимся
2nd Pl,оска́литесь
3rd Pl,оска́лятся
Past M,оска́лился
Past F,оска́лилась
Past N,оска́лилось
Past PL,оска́лились
Imp S,оска́лься
Imp PL,оска́льтесь
