Infinitive,оскла́биться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,оскла́бившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оскла́бившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,оскла́блюсь
2nd Sing,оскла́бишься
3rd Sing,оскла́бится
1st Pl,оскла́бимся
2nd Pl,оскла́битесь
3rd Pl,оскла́бятся
Past M,оскла́бился
Past F,оскла́билась
Past N,оскла́билось
Past PL,оскла́бились
Imp S,оскла́бься
Imp PL,оскла́бьтесь
