Infinitive,оступа́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,оступа́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,оступа́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оступа́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,оступа́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,оступа́юсь
2nd Sing,оступа́ешься
3rd Sing,оступа́ется
1st Pl,оступа́емся
2nd Pl,оступа́етесь
3rd Pl,оступа́ются
Past M,оступа́лся
Past F,оступа́лась
Past N,оступа́лось
Past PL,оступа́лись
Imp S,оступа́йся
Imp PL,оступа́йтесь
