Infinitive,осве́домить
Zaliznyak Class,4a[③][⑦]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,осве́домивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,осве́домленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,осведомлённый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,осве́домив
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,осве́домивши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,осве́домлю
2nd Sing,осве́домишь
3rd Sing,осве́домит
1st Pl,осве́домим
2nd Pl,осве́домите
3rd Pl,осве́домят
Past M,осве́домил
Past F,осве́домила
Past N,осве́домило
Past PL,осве́домили
Imp S,осве́доми
Imp PL,осве́домьте
