Infinitive,осы́пать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,осы́павший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,осы́панный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,осы́пав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,осы́павши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,осы́плю
2nd Sing,осы́плешь
3rd Sing,осы́плет
1st Pl,осы́плем
2nd Pl,осы́плете
3rd Pl,осы́плют
Past M,осы́пал
Past F,осы́пала
Past N,осы́пало
Past PL,осы́пали
Imp S,осы́пь
Imp PL,осы́пьте
