Infinitive,осироте́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,осироте́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,осироте́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,осироте́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,осироте́ю
2nd Sing,осироте́ешь
3rd Sing,осироте́ет
1st Pl,осироте́ем
2nd Pl,осироте́ете
3rd Pl,осироте́ют
Past M,осироте́л
Past F,осироте́ла
Past N,осироте́ло
Past PL,осироте́ли
Imp S,осироте́й
Imp PL,осироте́йте
