Infinitive,остана́вливаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,остана́вливающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,остана́вливавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,остана́вливаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,остана́вливавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,остана́вливаюсь
2nd Sing,остана́вливаешься
3rd Sing,остана́вливается
1st Pl,остана́вливаемся
2nd Pl,остана́вливаетесь
3rd Pl,остана́вливаются
Past M,остана́вливался
Past F,остана́вливалась
Past N,остана́вливалось
Past PL,остана́вливались
Imp S,остана́вливайся
Imp PL,остана́вливайтесь
