Infinitive,осерча́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,осерча́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,осерча́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,осерча́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,осерча́ю
2nd Sing,осерча́ешь
3rd Sing,осерча́ет
1st Pl,осерча́ем
2nd Pl,осерча́ете
3rd Pl,осерча́ют
Past M,осерча́л
Past F,осерча́ла
Past N,осерча́ло
Past PL,осерча́ли
Imp S,осерча́й
Imp PL,осерча́йте
