Infinitive,остыва́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,остыва́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,остыва́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,остыва́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,остыва́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,остыва́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,остыва́ю
2nd Sing,остыва́ешь
3rd Sing,остыва́ет
1st Pl,остыва́ем
2nd Pl,остыва́ете
3rd Pl,остыва́ют
Past M,остыва́л
Past F,остыва́ла
Past N,остыва́ло
Past PL,остыва́ли
Imp S,остыва́й
Imp PL,остыва́йте
