Infinitive,оска́лить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,оска́ливший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оска́ленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оска́лив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,оска́ливши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,оска́лю
2nd Sing,оска́лишь
3rd Sing,оска́лит
1st Pl,оска́лим
2nd Pl,оска́лите
3rd Pl,оска́лят
Past M,оска́лил
Past F,оска́лила
Past N,оска́лило
Past PL,оска́лили
Imp S,оска́ль
Imp PL,оска́льте
