Infinitive,освободи́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,освободи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,освободи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,освобожу́сь
2nd Sing,освободи́шься
3rd Sing,освободи́тся
1st Pl,освободи́мся
2nd Pl,освободи́тесь
3rd Pl,освободя́тся
Past M,освободи́лся
Past F,освободи́лась
Past N,освободи́лось
Past PL,освободи́лись
Imp S,освободи́сь
Imp PL,освободи́тесь
