Infinitive,осмотре́ть
Zaliznyak Class,5c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,осмотре́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,осмо́тренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,осмотре́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,осмотре́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,осмотрю́
2nd Sing,осмо́тришь
3rd Sing,осмо́трит
1st Pl,осмо́трим
2nd Pl,осмо́трите
3rd Pl,осмо́трят
Past M,осмотре́л
Past F,осмотре́ла
Past N,осмотре́ло
Past PL,осмотре́ли
Imp S,осмотри́
Imp PL,осмотри́те
