Infinitive,осе́сть
Zaliznyak Class,7a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,осе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,осе́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,осе́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,ося́ду
2nd Sing,ося́дешь
3rd Sing,ося́дет
1st Pl,ося́дем
2nd Pl,ося́дете
3rd Pl,ося́дут
Past M,осе́л
Past F,осе́ла
Past N,осе́ло
Past PL,осе́ли
Imp S,ося́дь
Imp PL,ося́дьте
