Infinitive,освежи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,освежи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,освежённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,освежи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,освежи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,освежу́
2nd Sing,освежи́шь
3rd Sing,освежи́т
1st Pl,освежи́м
2nd Pl,освежи́те
3rd Pl,освежа́т
Past M,освежи́л
Past F,освежи́ла
Past N,освежи́ло
Past PL,освежи́ли
Imp S,освежи́
Imp PL,освежи́те
