Infinitive,резви́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,резвя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,резви́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,резвя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,резви́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,резвлю́сь
2nd Sing,резви́шься
3rd Sing,резви́тся
1st Pl,резви́мся
2nd Pl,резви́тесь
3rd Pl,резвя́тся
Past M,резви́лся
Past F,резви́лась
Past N,резви́лось
Past PL,резви́лись
Imp S,резви́сь
Imp PL,резви́тесь
