Infinitive,регистри́роваться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,регистри́рующийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,регистри́ровавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,регистри́руясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,регистри́ровавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,регистри́руюсь
2nd Sing,регистри́руешься
3rd Sing,регистри́руется
1st Pl,регистри́руемся
2nd Pl,регистри́руетесь
3rd Pl,регистри́руются
Past M,регистри́ровался
Past F,регистри́ровалась
Past N,регистри́ровалось
Past PL,регистри́ровались
Imp S,регистри́руйся
Imp PL,регистри́руйтесь
