Infinitive,ретирова́ться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ретиру́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ретирова́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ретиру́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ретирова́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ретиру́юсь
2nd Sing,ретиру́ешься
3rd Sing,ретиру́ется
1st Pl,ретиру́емся
2nd Pl,ретиру́етесь
3rd Pl,ретиру́ются
Past M,ретирова́лся
Past F,ретирова́лась
Past N,ретирова́лось
Past PL,ретирова́лись
Imp S,ретиру́йся
Imp PL,ретиру́йтесь
