Infinitive,рекомендова́ться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,рекоменду́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,рекомендова́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,рекоменду́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,рекомендова́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,рекоменду́юсь
2nd Sing,рекоменду́ешься
3rd Sing,рекоменду́ется
1st Pl,рекоменду́емся
2nd Pl,рекоменду́етесь
3rd Pl,рекоменду́ются
Past M,рекомендова́лся
Past F,рекомендова́лась
Past N,рекомендова́лось
Past PL,рекомендова́лись
Imp S,рекоменду́йся
Imp PL,рекоменду́йтесь
