Infinitive,реши́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,реши́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,решённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,реши́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,реши́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,решу́
2nd Sing,реши́шь
3rd Sing,реши́т
1st Pl,реши́м
2nd Pl,реши́те
3rd Pl,реша́т
Past M,реши́л
Past F,реши́ла
Past N,реши́ло
Past PL,реши́ли
Imp S,реши́
Imp PL,реши́те
