Infinitive,рехну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,рехну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,рехну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,рехну́сь
2nd Sing,рехнёшься
3rd Sing,рехнётся
1st Pl,рехнёмся
2nd Pl,рехнётесь
3rd Pl,рехну́тся
Past M,рехну́лся
Past F,рехну́лась
Past N,рехну́лось
Past PL,рехну́лись
Imp S,рехни́сь
Imp PL,рехни́тесь
