Infinitive,регули́роваться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,регули́рующийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,регули́ровавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,регули́руясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,регули́ровавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,регули́руюсь
2nd Sing,регули́руешься
3rd Sing,регули́руется
1st Pl,регули́руемся
2nd Pl,регули́руетесь
3rd Pl,регули́руются
Past M,регули́ровался
Past F,регули́ровалась
Past N,регули́ровалось
Past PL,регули́ровались
Imp S,регули́руйся
Imp PL,регули́руйтесь
