Infinitive,ре́заться
Zaliznyak Class,6a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ре́жущийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ре́завшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ре́жась
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ре́завшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ре́жусь
2nd Sing,ре́жешься
3rd Sing,ре́жется
1st Pl,ре́жемся
2nd Pl,ре́жетесь
3rd Pl,ре́жутся
Past M,ре́зался
Past F,ре́залась
Past N,ре́залось
Past PL,ре́зались
Imp S,ре́жься
Imp PL,ре́жьтесь
