Infinitive,резану́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,резану́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,резану́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,резану́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,резану́
2nd Sing,резанёшь
3rd Sing,резанёт
1st Pl,резанём
2nd Pl,резанёте
3rd Pl,резану́т
Past M,резану́л
Past F,резану́ла
Past N,резану́ло
Past PL,резану́ли
Imp S,резани́
Imp PL,резани́те
