Infinitive,регули́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,регули́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,регули́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,регули́руемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,регули́рованный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,регули́руя
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,регули́ровав
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,регули́ровавши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,регули́рую
2nd Sing,регули́руешь
3rd Sing,регули́рует
1st Pl,регули́руем
2nd Pl,регули́руете
3rd Pl,регули́руют
Past M,регули́ровал
Past F,регули́ровала
Past N,регули́ровало
Past PL,регули́ровали
Imp S,регули́руй
Imp PL,регули́руйте
